"","tried_influence","attend_rally","work_party","wear_button","give_money_party","campaign_participation","discuss","give_money_campaign","volunteer","community_work","community_meeting","vote_in_primary","trust_others","satisfied_life","understand_issues","too_complicated","age","hisp","empl","own_home","married","class_conscious","PARTY_ID","better_off_econ1","STATEFIPS","money_stocks","born_again","college","black","female","inc_firstthird","inc_upperthird","lgbt","middleclass","jewish","catholic","protestant","nonreligious","knowl","str_PARTY","agesq","Consistency","Extremity","ideo_ext","ideo_label","ideo_score","Position","year","respondent","unique_id","wt1","wt2","wt3","complete_pre","complete_post","census_region","Action_Score"
"9215",1,1,1,1,1,0,0,0,2,0,0,1,1,1,0,0,71,0,1,1,0,1,"6",4,"6",1,2,1,0,0,1,0,0,1,0,0,0,1,1,1,5041,0.424664636789841,1.9930256969944,1,"left",-9.04030134960472,-1.9930256969944,"2016",618,20160618,0.569,0.569,0.569,1,1,"4",8
"9218",1,1,1,1,1,0,1,0,2,0,0,2,1,1,1,1,80,0,5,1,1,0,"1",2,"45",1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,6400,0.517605827815485,0.850269636246066,0,"moderate",-3.25688396810288,-0.850269636246066,"2008",905,20080905,0.1999,0.1999,0.1999,1,1,"3",10
"9220",1,1,1,1,1,0,0,0,1,1,1,2,1,1,1,0,73,0,5,1,1,0,"7",4,"42",1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,5329,0.495772682240927,0.282644701119922,0,"moderate",2.47672506319331,0.282644701119922,"2016",622,20160622,1.192,1.192,1.192,1,1,"3",10
"9221",1,1,1,1,1,0,0,0,1,0,0,2,1,1,1,0,62,1,1,1,0,1,"6",5,"12",0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,3844,0.57886984106511,0.773418844765002,0,"moderate",4.96050249412633,0.773418844765002,"2016",623,20160623,0.541,0.541,0.541,1,1,"2",8
"9222",0,1,1,0,1,2,1,0,1,0,0,2,1,1,0,1,58,0,1,1,0,1,"7",3,"12",1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,3364,0.552843376954323,0.162018397466131,0,"moderate",0.226312764709425,-0.162018397466131,"2016",624,20160624,1.107,1.107,1.107,1,1,"4",9
"9223",1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,55,0,1,1,1,0,"7",5,"39",0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3025,0.610197633575431,0.82490722533783,0,"moderate",5.22108198731693,0.82490722533783,"2016",625,20160625,0.252,0.252,0.252,1,1,"3",10
"9224",0,1,0,1,0,3,1,1,1,1,1,1,1,0,0,0,56,0,4,1,1,1,"2",5,"26",1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,3136,0.440311550469647,0.782271509129695,0,"moderate",-2.91274967402015,-0.782271509129695,"2016",627,20160627,0.945,0.945,0.945,1,1,"3",11
"9225",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,89,0,5,1,0,1,"7",4,"26",1,2,1,0,0,1,0,0,1,0,1,0,0,1,1,7921,0.44923771506261,0.845323559066187,0,"moderate",5.32440778308982,0.845323559066187,"2016",628,20160628,0.459,0.459,0.459,1,1,"4",9
"9226",0,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,50,0,1,0,0,1,"2",2,"12",1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2500,0.537582733943546,1.42162376373254,1,"left",-6.14847168782516,-1.42162376373254,"2016",629,20160629,0.691,0.691,0.691,1,1,"3",9
"9227",0,1,1,0,0,3,1,1,2,0,1,2,1,1,0,0,35,0,7,1,1,0,"6",2,"37",1,2,1,0,1,0,1,0,1,0,0,1,0,1,1,1225,0.39892340582086,1.01637329607457,0,"moderate",6.19007986840589,1.01637329607457,"2016",630,20160630,2.136,2.136,2.136,1,1,"2",12
"9228",0,0,1,0,0,4,1,0,2,0,0,1,0,0,1,0,44,0,1,1,0,0,"6",5,"39",0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1936,0.462146061719819,0.929713094916071,0,"moderate",-3.65894237365433,-0.929713094916071,"2016",631,20160631,1.381,1.381,1.381,1,1,"3",9
"9229",0,1,1,1,1,1,1,0,2,0,1,1,1,1,0,1,59,0,6,1,0,0,"6",2,"39",1,2,0,0,1,0,0,0,0,0,0,1,0,1,1,3481,0.530926729533698,0.682708838764349,0,"moderate",-2.40886918883365,-0.682708838764349,"2008",906,20080906,0.3918,0.3918,0.3918,1,1,"3",10
"9230",0,1,1,0,0,3,1,1,2,0,0,1,1,1,1,1,47,0,4,0,1,0,"7",1,"42",1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,2209,0.525310246306648,1.62547140557728,1,"left",-7.1801319305641,-1.62547140557728,"2016",632,20160632,0.94,0.94,0.94,1,1,"4",10
"9231",0,1,1,1,1,1,1,0,2,0,0,2,0,1,1,0,54,0,1,0,0,1,"2",2,"51",0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,2916,0.445622958480061,0.0127745649145851,0,"moderate",1.11092908092904,0.0127745649145851,"2016",633,20160633,0.567,0.567,0.567,1,1,"1",10
"9232",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,24,0,7,1,1,1,"2",2,"28",0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,576,0.563617507098924,2.09830289804144,1,"right",11.6656583234255,2.09830289804144,"2016",634,20160634,1.166,1.166,1.166,1,1,"1",8
"9233",0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,54,0,1,1,1,1,"2",4,"21",1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,2916,0.333099378770678,0.018935519003614,0,"moderate",0.950446317546189,-0.018935519003614,"2016",635,20160635,0.383,0.383,0.383,1,1,"3",8
"9236",1,1,1,1,1,0,1,0,1,1,1,2,1,1,0,1,52,1,1,1,0,0,"2",4,"12",1,2,1,0,1,0,0,0,0,0,1,0,0,1,1,2704,0.377052924548183,0.164627680335988,0,"moderate",0.21310734631689,-0.164627680335988,"2016",638,20160638,0.362,0.362,0.362,1,1,"2",11
"9237",0,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,25,1,7,0,1,0,"1",4,"6",1,2,1,0,1,0,1,0,0,0,1,0,0,1,1,625,0.654503531211075,0.0622895733980854,0,"moderate",0.731034143455973,-0.0622895733980854,"2016",640,20160640,1.212,1.212,1.212,1,1,"4",9
"9238",0,1,1,1,1,1,1,0,1,1,1,2,1,0,0,1,57,0,7,1,1,1,"6",4,"48",1,2,0,0,1,0,1,0,1,0,0,1,0,1,1,3249,0.329036735536466,0.0630621244220664,0,"moderate",1.3654312933596,0.0630621244220664,"2016",641,20160641,0.542,0.542,0.542,1,1,"4",11
"9239",1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,53,0,7,1,1,1,"4",1,"48",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,2809,0.322929740946938,0.256979830306022,0,"moderate",-0.254281143406803,-0.256979830306022,"2016",642,20160642,1.777,1.777,1.777,1,1,"3",9
"9241",1,1,1,1,1,0,0,0,2,0,0,1,0,0,1,1,61,0,1,1,1,1,"7",5,"36",0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,3721,0.46408415377719,0.0726956042826695,0,"moderate",0.678369868062904,-0.0726956042826695,"2016",643,20160643,1.022,1.022,1.022,1,1,"1",8
"9242",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,30,0,1,1,0,1,"1",2,"13",0,2,1,1,1,0,0,0,0,0,1,0,0,1,1,900,0.33884191280992,1.4156808858348,1,"right",8.21095075634734,1.4156808858348,"2016",644,20160644,1.049,1.049,1.049,1,1,"3",9
"9243",1,1,1,1,1,0,0,0,1,0,0,2,1,1,0,0,73,0,5,1,1,1,"1",1,"48",0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,5329,0.553028115214259,1.62703072150023,1,"right",9.28057913562242,1.62703072150023,"2016",645,20160645,1.147,1.147,1.147,1,1,"3",8
"9245",0,0,1,1,1,2,1,0,2,0,0,2,1,1,1,0,29,0,1,0,0,0,"2",2,"48",1,2,1,0,1,1,0,0,0,0,1,0,0,1,1,841,0.281487485051798,0.251930698120958,0,"moderate",2.32128340341915,0.251930698120958,"2016",647,20160647,2.398,2.398,2.398,1,1,"2",10
"9246",0,1,1,1,1,1,0,0,2,0,0,1,1,1,1,1,32,1,1,1,1,1,"1",4,"25",1,2,1,0,1,0,0,0,1,0,1,0,0,1,1,1024,0.479017541228521,0.286390873337057,0,"moderate",2.49568420789519,0.286390873337057,"2016",648,20160648,0.801,0.801,0.801,1,1,"3",8
"9250",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,33,1,1,1,1,0,"3",4,"4",1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1089,0.559691692572625,1.75584966008429,1,"left",-7.83996817137295,-1.75584966008429,"2016",653,20160653,0.284,0.284,0.284,1,1,"2",10
"9251",0,1,1,1,1,1,1,0,2,0,0,2,1,1,1,1,63,1,1,1,1,0,"6",2,"48",1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,3969,0.489346213143854,0.707272661148636,0,"moderate",4.62574077096698,0.707272661148636,"2008",908,20080908,0.5556,0.5556,0.5556,1,1,"3",10
"9255",1,1,1,1,1,0,0,0,2,0,0,1,1,1,0,0,32,0,1,0,0,0,"3",4,"15",0,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1024,0.473372836631504,1.37055204730882,1,"right",7.98255651010089,1.37055204730882,"2016",657,20160657,2.191,2.191,2.191,1,1,"1",8
"9256",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,37,0,7,1,1,0,"1",1,"1",0,2,1,0,1,0,1,0,1,0,0,1,0,0,1,1369,0.468763391618635,0.656011104448409,0,"moderate",-2.27375361518409,-0.656011104448409,"2016",658,20160658,1.023,1.023,1.023,1,1,"2",9
"9257",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,1,62,0,7,1,1,0,"7",5,"40",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3844,0.466590078762435,1.23785787217094,0,"moderate",-5.21844393484301,-1.23785787217094,"2016",660,20160660,1.531,1.531,1.531,1,1,"4",9
"9258",1,1,1,1,1,0,1,0,2,0,0,2,1,1,1,1,55,1,1,0,1,1,"4",3,"6",0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,3025,0.59306105613746,0.593679944192014,0,"moderate",-1.95829948808023,-0.593679944192014,"2016",661,20160661,1.045,1.045,1.045,1,1,"2",10
"9259",1,1,1,1,1,0,0,0,1,0,0,2,1,1,1,1,35,0,1,1,1,1,"7",4,"18",0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1225,0.440410593746508,0.982128850988019,0,"moderate",-3.92421525659363,-0.982128850988019,"2016",662,20160662,1,1,1,1,1,"3",8
"9260",1,1,1,1,1,0,1,0,1,0,0,2,0,1,1,0,50,0,1,1,1,1,"1",2,"27",1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,2500,0.422284222435094,1.38889191147181,1,"left",-5.98281781838123,-1.38889191147181,"2016",663,20160663,0.622,0.622,0.622,1,1,"2",9
"9262",1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,46,0,1,1,1,0,"7",2,"39",0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2116,0.414931918285874,0.034668838684785,0,"moderate",1.22173463937431,0.034668838684785,"2008",89,20080089,0.2495,0.2495,0.2495,1,1,"4",7
